ChannelName,Fecha,Subscribers,VideosCount,ViewsCount
TheGrefg,2021-09-14T21:38:21.507Z,17100000,3131,5596743190
Luisito Comunica,2021-09-14T21:38:21.507Z,37200000,1020,6708404445
Ubaman,2021-09-14T21:38:21.507Z,387000,1000,117854521
Coreano Vlogs,2021-09-14T21:38:21.507Z,4760000,640,616793829
Auron,2021-09-14T21:38:21.507Z,11900000,429,1693113231
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5596743190
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1020,6708404445
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117854521
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,616793829
Auron,2021-09-15T21:38:21.507Z,11900000,429,1693113231
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5596743190
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1020,6708404445
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117854521
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,616793829
Auron,2021-09-15T21:38:21.507Z,11900000,429,1693113231
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,616793829
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,616793829
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,616793829
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-15T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-15T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-15T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-15T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-15T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3131,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1000,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-16T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-16T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-16T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-16T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-16T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617158436
Auron,2021-09-17T21:38:21.507Z,11900000,430,1696156553
TheGrefg,2021-09-17T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-17T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-17T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-17T21:38:21.507Z,4760000,640,617470293
Auron,2021-09-17T21:38:21.507Z,11900000,431,1696156553
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-18T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,640,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1696156553
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-18T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,640,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1696156553
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-18T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,640,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1696156553
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6712462099
Ubaman,2021-09-18T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,640,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1696156553
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6717194823
Ubaman,2021-09-18T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,640,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1696156553
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6717194823
Ubaman,2021-09-18T21:38:21.507Z,387000,1001,117964814
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,640,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1696156553
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5599296312
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6717194823
Ubaman,2021-09-18T21:38:21.507Z,387000,1001,117964814
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5601459196
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6717194823
Ubaman,2021-09-18T21:38:21.507Z,387000,1002,118098606
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,641,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1699078164
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5601459196
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6717194823
Ubaman,2021-09-18T21:38:21.507Z,387000,1002,118098606
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,641,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1699078164
TheGrefg,2021-09-18T21:38:21.507Z,17100000,3132,5601459196
Luisito Comunica,2021-09-18T21:38:21.507Z,37200000,1021,6717194823
Ubaman,2021-09-18T21:38:21.507Z,387000,1002,118098606
Coreano Vlogs,2021-09-18T21:38:21.507Z,4760000,641,617470293
Auron,2021-09-18T21:38:21.507Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3132,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3132,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3132,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3132,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1021,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,431,1699078164
TheGrefg,2021-09-19T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-19T21:28:57.609Z,37200000,1022,6717194823
Ubaman,2021-09-19T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-19T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-19T21:28:57.609Z,11900000,432,1699078164
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6717194823
Ubaman,2021-09-20T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-20T21:28:57.609Z,11900000,432,1699078164
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6717194823
Ubaman,2021-09-20T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-20T21:28:57.609Z,11900000,432,1699078164
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6717194823
Ubaman,2021-09-20T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-20T21:28:57.609Z,11900000,432,1699078164
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6717194823
Ubaman,2021-09-20T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,641,617470293
Auron,2021-09-20T21:28:57.609Z,11900000,432,1699078164
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3133,5601459196
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6717194823
Ubaman,2021-09-20T21:28:57.609Z,387000,1002,118098606
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,641,617470293
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3134,5602941996
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6720601397
Ubaman,2021-09-20T21:28:57.609Z,387000,1003,118201863
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,642,617804763
Auron,2021-09-20T21:28:57.609Z,11900000,434,1705560499
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3134,5602941996
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6720601397
Ubaman,2021-09-20T21:28:57.609Z,387000,1003,118201863
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,642,617804763
Auron,2021-09-20T21:28:57.609Z,11900000,434,1705560499
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3134,5602941996
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6720601397
Ubaman,2021-09-20T21:28:57.609Z,387000,1003,118201863
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,642,618299362
Auron,2021-09-20T21:28:57.609Z,11900000,434,1705560499
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3134,5602941996
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6720601397
Ubaman,2021-09-20T21:28:57.609Z,387000,1003,118303772
Coreano Vlogs,2021-09-20T21:28:57.609Z,4760000,642,618299362
Auron,2021-09-20T21:28:57.609Z,11900000,434,1705560499
TheGrefg,2021-09-20T21:28:57.609Z,17100000,3134,5602941996
Luisito Comunica,2021-09-20T21:28:57.609Z,37200000,1022,6725470259
